FIlme ,Trailer,Gui,Carol 
Wifi Ralph,https://www.youtube.com/watch?v=ZGy_LQEy4fI,"2,5","3,5 "
Black Mirror: Bandersnatch,https://www.google.com.br/search?client=opera&hs=yBO&ei=9y01XMaWIYya5gLKorOwBg&q=black+mirror+bandersnatch&oq=black+mirror+b&gs_l=psy-ab.3.0.0i203l10.481.1576..2776...0.0..0.207.398.0j1j1....3..0....1..gws-wiz.......0i71j0i67.dpyKpGfcxaU,2,"2,5"
O Manicômio,https://www.youtube.com/watch?v=Lkc9lvCpSxk,1.5,"3,0"
homem-aranha no Aranhaverso,https://www.youtube.com/watch?v=SS6ABPkfmBE,2.5,"2,0"
Vidro,https://www.youtube.com/watch?v=Noi8mDg-8Ik,3.5,"3,5"
Nada a Esconder,https://www.youtube.com/watch?v=txHDlIATGA0,3.5,"3,5"
Capitã Marvel,https://www.youtube.com/watch?v=JhY6Yy4wtb4,3.5,"4,5"
Nós ,https://www.youtube.com/watch?v=SMqQFQeBYdo,4,"3,5"
Shazan ,https://www.youtube.com/watch?v=go6GEIrcvFY,3,"1,5"
Durante a Tormenta,https://www.youtube.com/watch?v=w5ywZSSeZMY,3.5,"4,0"
Snowden,https://www.youtube.com/watch?v=QlSAiI3xMh4,4,"4,0"
The Silence,https://www.youtube.com/watch?v=Y-ufZuqTd5c,3,"2,5"
O Menino que Descobriu o Vento,https://www.youtube.com/watch?v=OBprnlpM744,4,"4,5"
Vingadores Ultimato,https://www.youtube.com/watch?v=g6ng8iy-l0U,4,"4,5"
Estrelas Alem do Tempo,https://www.youtube.com/watch?v=wx3PVtrU-Os,4.5,"5,0"
O Melhor Amigo da Noiva,https://www.youtube.com/watch?v=ADDKwVR1qw0,3,3
3 Vezes Amor,https://www.google.com.br/search?client=opera&q=3+vezes+amor&sourceid=opera&ie=UTF-8&oe=UTF-8,4,2
Bridget Jones no Limite da Razão,https://www.youtube.com/watch?v=2DFQNPx5sxA,3,"3,5"
O Cemitério Maldito,https://www.youtube.com/watch?v=tJ8vn2dhc0E,3,3
Sob o mesmo céu ,https://www.youtube.com/watch?v=ShetvTxA1Gw,"2,5","1,5"
Um lugar chamado notting hill,https://www.youtube.com/watch?v=zb8RPslTrEc,3,"3,5"
Questão de tempo,https://www.youtube.com/watch?v=MECwYJzEX1M,3,3
7 min depois da meia noite,https://www.youtube.com/watch?v=Ps4U8ReQgRI,"3,5","3,5"
A intrometida,https://www.youtube.com/watch?v=wdybNe_5EVA,3,2
Só você ,https://www.youtube.com/watch?v=e-DWAuYMRsU,"2,5","2,5"
Amor a segunda vista,https://www.youtube.com/watch?v=VntOUGbrhvY,3,"3,5"
Milagres do paraíso ,https://www.youtube.com/watch?v=3f2CYnOgtDU,"4,5",4
Mãos talentosas,https://www.youtube.com/watch?v=Gim1ec2ZalU,3.5,"3,5"
I am mom,https://www.youtube.com/watch?v=N5BKctcZxrM,"2,5",3
Birdman,https://www.youtube.com/watch?v=8VnQXeWgll4,2,1
Homem Aranha Longe de Casa,,"3,5",3
Grande Garoto,,"3,5","3,5"
Capitão Fantástico ,,4,"3,5"
Fome de Poder,,3,"2,5"
Psicopata Americano,,"2,5",2
Garota Exemplar,,3,3
Requiem of a Dream,,3,3
Jack o Caçador de Gigantes,,"3,5","3,5"
The Discovery,,"3,5","3,5"
quatro vidas de um cachorro,,3,2
It 2,,3,3
Yesterday,,3,"3,5"
Terapia do amor,,"2,5",3
Fraturado,,"3,5","2,5"
Cães de Guerra,,3,4
Campo do Medo,,3,2
12 Anos de Escravidão ,,4,"3,5"
Gravidade,,"3,5","4,5"
Dizem por aí ,,3,"1,5"
Coringa,,"3,5",4
O Grande Truque,,4,"3,5"
Eli,,3,3
Django,,4,"4,5"
Dr. Sono,,4,4
The Man Without Gravity,,"2,5",3
Sully,,3,"1,5"
Coach Carter,,"3,5",4
Shawn of the dead,,"1,5",1
Um homem entre gigantes,,4,"3,5"
Spawn,,"1,5",0
O Contador,,4,"3,5"
Raça ,,"3,5","3,5"
Wiplash,,4,3
Tratamento de choque,,"2,5",2
As Loucas Aventuras de James West,,"2,5","2,5"
Perdi Meu Corpo,,"2,5","2,5"
Noé ,,3,3
O Rei,,3,3
O Irlandês ,,3,2
Assassins Creed,,2,2
Sombra Lunar,,3,"3,5"
Okja,,"2,5",3
Negócios fora de Controle,,"2,5","2,5"
História de um Casamento,,3,"2,5"
1917,,4,4
O Parasita,,3,"2,5"
O Limite da Traição ,,2,1
idas e vindas do amor,,"3,5","2,5"
Era uma vez em Hollywood,,"3,5",2
O Rei Leão ,,"2,5","1,5"
Entre Realidades,,3,3
Como ser solteira,,"3,5","3,5"
Os Dois Papas,,"3,5","2,5"
Letra e Música ,,3,"2,5"
La Boda de la Abuela,,"2,5",1
Flu,,"2,5","3,5"
Como Perder um Homem em 10 Dias,,"3,5",4
Superbad,,"2,5",3
Eu os declaro marido e Lary,,3,2
E se fosse verdade,,"3,5",3
De repente 30,,3,"4,5"
Sobreviventes,,2,3
O homem invisivel,,"3,5","2,5"
The Big Lebawsk,,"3,5","2,5"
Ender's Game o Jogo do Exterminador,,4,3
O Contágio,,3,"3,5"
Dunkirk,,3,"2,5"
Maggie,,3.5,3
O Poço ,,"3,5",3
Fundamentals of Caring,,"3,5","3,5"
Se eu fosse um homem,,"2,5","1,5"
Todas as Sardas do Mundo,,"1,5","1,5"
Por Lugares Incriveis,,3,3
Comer Rezar e Amar,,3,"3,5"
10000 ac,,"2,5","3,5"
O livro de Henry,,"3,5","4,5"
O senhor dos aneis a sociedade do anel,,2.5,"2,5"
o senhor dos aneis as duas torres,,"2,5","2,5"
o senhor dos aneis o retorno do rei,,3.5,"2,5"
A Grande Aposta,,4,3
Star Wars Uma Nova Esperança,,2,2
Star Wars O Império Contra-Ataca,,2,2
Star Wars O Retorno do Jedi,,3,"2,5"
O Estagiário,,3.5,3
Código para o Inferno,,"2,5","3,5"
Quebrando a banca ,,"3,5","3,5"
Despedida em Grande Estilo,,3,"2,5"
Golpe Duplo,,"2,5","2,5"
Apollo 13,,3.5,3
Indiana Jones e os caçadores da arca perdida ,,"2,5",2
Ferias,,"1,5",3
O resgate do soldado Ryan ,,3,4
Rede de Odio,,"2,5","2,5"
Power,,"2,5","1,5"
A Mumia,,"4,5","3,5"
O retorno da mumia,,4,"3,5"
No coração do Mar,,"3,5","3,5"
x men fenix negra,,2,"2,5"
Viva a vida é uma festa,,4,"3,5"
de volta para o futuro,,4,3
flatliners,,3,4
de volta para o futuro 2,,3,1
de volta para o futuro 3,,"3,5","2,5"
Estou pensando em acabar com tudo,,"3,5","3,5"
O diabo de cada dia,,"3,5",4
O primeiro mentiroso,,"2,5",2
#alive,,3,"2,5"
Enola Holmes,,3,3
O destino de uma nação,,3,"3,5"
Invencível ,,3.5,4
Super Dark Times,,3.5,"4,5"
Mundos Opostos,,3,"2,5"
Perfume de Mulher,,4,"2,5"
Rocky,,3,
Rocky 2,,3,
Rocky 3,,2.5,
Rocky 4,,3.5,
Rocky 5,,2.5,
Rocky Balboa,,2.5,
Creed,,3,
Creed 2,,3.5,
